episode,reward,steps
650,-18.0,1906
651,-20.0,1874
652,-20.0,2349
653,-17.0,2939
654,-13.0,2403
655,-14.0,2516
656,-18.0,1506
657,-15.0,2512
658,-15.0,2700
659,-18.0,1821
660,-20.0,2274
661,-14.0,2791
662,-10.0,3108
663,-18.0,2126
664,-20.0,1846
665,-17.0,2610
666,-17.0,2291
667,-17.0,2423
668,-17.0,2576
669,-17.0,2536
670,-9.0,3448
671,-13.0,3151
672,-7.0,3497
673,-14.0,3117
674,-11.0,3465
675,-16.0,3184
676,-13.0,3196
677,-14.0,2765
678,-16.0,2734
679,-17.0,2909
680,-16.0,2519
681,-15.0,2833
682,-10.0,3122
683,-17.0,2561
684,-7.0,4165
685,-11.0,3259
686,-13.0,3087
687,-13.0,3209
688,-14.0,2982
689,-17.0,2419
690,-15.0,2488
691,-11.0,3042
692,-17.0,2465
693,-15.0,2624
694,-14.0,2567
695,-18.0,2470
696,-17.0,2648
697,-13.0,3283
698,-15.0,2741
699,-16.0,2409
700,-12.0,3237
701,-16.0,3045
702,-12.0,3120
703,-12.0,3470
704,-14.0,2481
705,-16.0,3320
706,-15.0,3163
707,-16.0,2574
708,-13.0,3365
709,-11.0,3102
710,-13.0,2968
711,-16.0,3169
712,-11.0,3426
713,-13.0,3105
714,-13.0,2915
715,-20.0,2367
716,-13.0,3674
717,-13.0,3084
718,-13.0,3231
719,-11.0,3120
720,-13.0,3042
721,-9.0,3359
722,-15.0,2950
723,-16.0,2671
724,-13.0,2934
725,-18.0,2549
726,-13.0,3023
727,-19.0,2599
728,-15.0,2575
729,-13.0,3096
730,-14.0,3181
731,-17.0,3189
732,-14.0,3074
733,-15.0,2557
734,-11.0,3542
735,-16.0,2664
736,-15.0,2679
737,-14.0,3195
738,-17.0,2616
739,-16.0,2651
740,-13.0,3385
741,-16.0,2537
742,-16.0,3282
743,-15.0,2924
744,-13.0,3235
