Episode,Reward,Steps
762,15.0,2267
763,16.0,2315
764,19.0,1895
765,20.0,1965
766,15.0,2320
767,18.0,2183
768,18.0,2251
769,14.0,2401
770,18.0,2041
771,19.0,2019
772,19.0,1979
773,14.0,2406
774,18.0,2054
775,17.0,2384
776,18.0,1958
777,17.0,2194
778,16.0,2186
779,15.0,2143
780,17.0,2228
781,17.0,2049
782,14.0,2610
783,16.0,2472
784,16.0,2221
785,16.0,2262
786,12.0,2942
787,20.0,1758
788,16.0,2135
789,18.0,2090
790,14.0,2754
791,18.0,2157
792,10.0,2369
793,16.0,2253
794,18.0,2072
795,18.0,1914
796,13.0,3102
797,17.0,2011
798,18.0,1989
799,19.0,2278
800,21.0,1903
801,21.0,1705
802,19.0,2056
803,19.0,2020
804,17.0,2100
805,14.0,2414
806,16.0,2438
807,18.0,2008
808,16.0,2296
809,15.0,2503
810,17.0,2227
811,19.0,1970
812,20.0,1833
813,15.0,2767
814,19.0,1867
815,18.0,2295
816,20.0,1939
817,16.0,2531
818,16.0,2300
819,20.0,1845
820,20.0,1760
821,20.0,1777
822,17.0,2245
823,16.0,2235
824,19.0,1960
825,16.0,2280
826,19.0,1892
827,19.0,1933
828,18.0,2108
829,16.0,2254
830,18.0,2182
831,14.0,2716
832,14.0,2432
833,19.0,1946
834,17.0,2154
835,17.0,2301
836,17.0,2366
837,18.0,2044
838,18.0,2053
839,19.0,1902
840,19.0,1974
841,18.0,2146
842,17.0,2034
843,16.0,2352
844,17.0,2620
845,13.0,2747
846,15.0,2291
847,14.0,2702
848,13.0,2404
849,19.0,2172
850,20.0,1774
851,18.0,1928
852,19.0,1866
853,17.0,2061
854,17.0,2071
855,20.0,1787
856,14.0,2455
857,15.0,2188
858,21.0,1742
859,18.0,2106
860,20.0,1967
861,16.0,2205
862,20.0,1970
863,15.0,2308
864,19.0,1813
865,16.0,2390
866,19.0,2199
867,20.0,1801
868,16.0,2488
869,19.0,1978
870,20.0,1778
871,21.0,1706
872,19.0,2124
873,17.0,2064
874,17.0,2316
875,16.0,2332
876,20.0,1789
877,20.0,1913
878,19.0,1856
879,20.0,1778
880,18.0,1978
881,15.0,2419
882,18.0,2338
883,18.0,1946
884,18.0,1939
885,18.0,1934
886,20.0,1897
887,19.0,1884
888,17.0,2088
889,17.0,2310
890,17.0,2075
891,19.0,1924
892,17.0,2058
893,17.0,2042
894,18.0,2222
895,18.0,2012
896,20.0,1800
897,20.0,1800
898,17.0,2011
899,19.0,1945
900,16.0,2326
901,19.0,1885
902,20.0,1939
903,19.0,1849
904,18.0,2256
905,17.0,2310
906,19.0,1838
907,18.0,2185
908,19.0,1881
909,19.0,2184
910,20.0,1777
911,17.0,2033
912,21.0,1705
913,17.0,2025
914,19.0,2254
915,16.0,2267
916,19.0,1922
917,18.0,1973
918,19.0,1854
919,19.0,1939
920,19.0,1853
921,21.0,1768
922,21.0,1706
923,20.0,1778
924,18.0,1990
925,20.0,1788
926,18.0,2128
927,20.0,1831
928,18.0,1937
929,15.0,2210
930,21.0,1708
931,17.0,2152
932,21.0,1786
933,20.0,1860
934,16.0,2240
935,17.0,2024
936,20.0,1894
937,20.0,1900
938,20.0,1788
939,19.0,2138
940,17.0,2107
941,15.0,2317
942,19.0,2044
943,17.0,2027
944,20.0,2164
945,12.0,2468
946,19.0,1886
947,16.0,2248
948,17.0,1934
949,16.0,2321
950,19.0,1970
951,20.0,1801
952,18.0,1923
953,18.0,2059
954,16.0,2390
955,17.0,2166
956,18.0,1948
957,12.0,2764
958,17.0,2074
959,20.0,1787
960,20.0,1847
961,18.0,1903
962,16.0,2344
963,15.0,2179
964,19.0,2049
965,19.0,1931
966,15.0,2480
967,21.0,1709
968,18.0,2272
969,16.0,2406
970,21.0,1706
971,16.0,2265
972,20.0,1769
973,21.0,1709
974,16.0,2488
975,15.0,2335
976,13.0,2628
977,14.0,2700
978,17.0,2076
979,18.0,1962
980,16.0,2404
981,18.0,2065
982,19.0,2241
983,16.0,2633
984,20.0,1786
985,18.0,2095
986,17.0,2207
987,18.0,2081
988,18.0,2297
989,17.0,2147
990,19.0,1972
991,15.0,2309
992,12.0,2827
993,18.0,2046
994,20.0,1788
995,16.0,2292
996,19.0,1887
997,18.0,2062
998,20.0,1791
999,20.0,1760
1000,21.0,1706
1001,16.0,2249
1002,16.0,2371
1003,16.0,2233
1004,19.0,2053
1005,19.0,2122
1006,18.0,2319
1007,19.0,1925
1008,19.0,2187
1009,19.0,2062
1010,20.0,1799
1011,19.0,1903
1012,18.0,2042
1013,19.0,1988
1014,20.0,1816
1015,15.0,2597
1016,20.0,1760
1017,17.0,1971
1018,18.0,1873
1019,18.0,1999
1020,16.0,2433
1021,20.0,1901
1022,18.0,2072
1023,17.0,2216
1024,18.0,2161
1025,20.0,1928
1026,19.0,2044
1027,20.0,1756
1028,16.0,2403
1029,20.0,1777
1030,17.0,2188
1031,17.0,1980
1032,18.0,2108
1033,18.0,1970
1034,18.0,1823
1035,18.0,2137
1036,19.0,1778
1037,18.0,2032
1038,16.0,2406
1039,20.0,1853
1040,13.0,2599
1041,13.0,2782
1042,18.0,2216
1043,18.0,1922
1044,20.0,1821
1045,17.0,2155
1046,17.0,2366
1047,18.0,2065
1048,18.0,1900
1049,17.0,2203
1050,20.0,1849
1051,19.0,1841
1052,18.0,2018
1053,17.0,2126
1054,17.0,2106
1055,17.0,2524
1056,16.0,2027
1057,17.0,2118
1058,20.0,1801
1059,16.0,2718
1060,18.0,2100
1061,21.0,1722
1062,19.0,1940
1063,19.0,1951
1064,16.0,2296
1065,20.0,1804
1066,17.0,2120
1067,17.0,1960
1068,19.0,1809
1069,18.0,1982
1070,17.0,2200
1071,19.0,1899
1072,19.0,2187
1073,19.0,2010
1074,19.0,1851
1075,19.0,1812
1076,20.0,1879
1077,19.0,1928
1078,15.0,2260
1079,18.0,2102
1080,21.0,1705
1081,18.0,2360
1082,18.0,2143
1083,16.0,2381
1084,20.0,1775
1085,21.0,1767
1086,19.0,2020
1087,18.0,1981
1088,18.0,2151
1089,17.0,2089
1090,19.0,1897
1091,18.0,2188
1092,18.0,1939
1093,18.0,2028
1094,20.0,1851
1095,20.0,1755
1096,17.0,2050
1097,17.0,1903
1098,19.0,1946
1099,17.0,2288
1100,16.0,2342
1101,17.0,2146
1102,18.0,1975
1103,19.0,2073
1104,19.0,2045
1105,19.0,1914
1106,18.0,2178
1107,21.0,1706
1108,20.0,1775
1109,17.0,2269
1110,19.0,1975
1111,17.0,2001
1112,17.0,2034
1113,14.0,2632
1114,20.0,1779
1115,18.0,2174
1116,18.0,1931
1117,17.0,1958
1118,18.0,1906
1119,18.0,1986
1120,17.0,2277
1121,19.0,1916
1122,13.0,2553
1123,17.0,2047
1124,20.0,1848
1125,18.0,2179
1126,17.0,2112
1127,19.0,1858
1128,19.0,1917
1129,18.0,2089
1130,19.0,1951
1131,17.0,2043
1132,17.0,2065
1133,18.0,2328
1134,16.0,2349
1135,17.0,2297
1136,19.0,1901
1137,19.0,2081
1138,20.0,1887
1139,12.0,2513
1140,18.0,2095
1141,17.0,2297
1142,20.0,1923
1143,18.0,1985
1144,17.0,2087
1145,17.0,2144
1146,19.0,2240
1147,16.0,2024
1148,17.0,2358
1149,19.0,1835
1150,17.0,2052
1151,19.0,2068
1152,17.0,2103
1153,19.0,2116
1154,20.0,1858
1155,19.0,1922
1156,18.0,2240
1157,20.0,1831
1158,16.0,2358
1159,18.0,2014
1160,19.0,1929
1161,16.0,2414
1162,18.0,2093
1163,16.0,2398
1164,18.0,2061
1165,13.0,2792
1166,16.0,2610
1167,20.0,1836
1168,18.0,2087
1169,15.0,2651
1170,16.0,2450
1171,16.0,2755
1172,19.0,2140
1173,20.0,1891
1174,18.0,2030
1175,17.0,2241
1176,19.0,1994
1177,19.0,1821
1178,20.0,1880
1179,17.0,2065
1180,18.0,2266
1181,19.0,1895
1182,20.0,1861
1183,20.0,1870
1184,20.0,1818
1185,18.0,2010
1186,20.0,1760
1187,20.0,1858
1188,18.0,2076
1189,20.0,1953
1190,21.0,1705
1191,16.0,2327
1192,21.0,1704
1193,17.0,2045
1194,18.0,1982
1195,18.0,2086
1196,20.0,1880
1197,16.0,2364
1198,19.0,2364
1199,19.0,2017
1200,20.0,1818
1201,16.0,2756
1202,20.0,1905
1203,18.0,2072
1204,20.0,1826
1205,19.0,1828
1206,20.0,1850
1207,19.0,2168
1208,18.0,1927
1209,18.0,1975
1210,18.0,2027
1211,20.0,1767
1212,18.0,2145
1213,19.0,1914
1214,17.0,2228
